INMUEBLE;PROVINCIA;MUNICIPIO;AFECTACIÓN;SUBTIPO;ESTADO INMUEBLE;ADSCRIPCIÓN;CERTIFICADO ENERGÉTICO (S/N);INSCRITO REGISTRO PROPIEDAD (S/N);LICENCIA APERTURA (S/N);FECHA ALTA;FECHA BAJA;FECHA BIC;SUPERFICIE CONSTRUIDA;CALIFICACIÓN SUELO CASTELLANO;CALIFICACIÓN SUELO VALENCIANO;CLASIFICACIÓN SUELO CASTELLANO;CLASIFICACIÓN SUELO VALENCIANO;DERECHO TERCERO CASTELLANO;DERECHO TERCERO VALENCIANO;NATURALEZA CASTELLANO;NATURALEZA VALENCIANO;NIVEL CASTELLANO;NIVEL VALENCIANO;SITUACIÓN ARRENDAMIENTO CASTELLANO;SITUACIÓN ARRENDAMIENTO VALENCIANO;USO PORMENOR CASTELLANO;USO PORMENOR VALENCIANO
'Solar Para La Ampliacion Del  I.V.A.M.;Valencia/València;València;Cultural;Suelo Urbano;Inventariado;Conselleria De Educacion Cultura  Universidades Y Empleo;N;S;N;2002/02/13 00:00:00.000000000;;;0,0;Desconocida;Desconeguda;Desconocida;Desconeguda;Desconocido;Desconegut;Dominio público;Domini públic;Sin Protección;Sense Protecció;Otra;Altra;Desconocido;Desconegut
'Solar Para La Ampliacion Del  I.V.A.M.;Valencia/València;València;Cultural;Suelo Urbano;Inventariado;Conselleria De Educacion Cultura  Universidades Y Empleo;N;S;N;2002/06/26 00:00:00.000000000;;;223,0;Desconocida;Desconeguda;Desconocida;Desconeguda;Desconocido;Desconegut;Dominio público;Domini públic;Sin Protección;Sense Protecció;Otra;Altra;Desconocido;Desconegut
'Solar Para La Ampliacion Del  I.V.A.M.;Valencia/València;València;Cultural;Suelo Urbano;Inventariado;Conselleria De Educacion Cultura  Universidades Y Empleo;N;S;N;2002/07/30 00:00:00.000000000;;;0,0;Desconocida;Desconeguda;Desconocida;Desconeguda;Desconocido;Desconegut;Dominio público;Domini públic;Sin Protección;Sense Protecció;Otra;Altra;Desconocido;Desconegut
'Solar Para La Ampliacion Del  I.V.A.M.;Valencia/València;València;Cultural;Suelo Urbano;Inventariado;Conselleria De Educacion Cultura  Universidades Y Empleo;N;S;N;2003/07/15 00:00:00.000000000;;;372,0;Desconocida;Desconeguda;Desconocida;Desconeguda;Desconocido;Desconegut;Dominio público;Domini públic;Sin Protección;Sense Protecció;Otra;Altra;Desconocido;Desconegut
'Solar Para La Ampliacion Del  I.V.A.M.;Valencia/València;València;Cultural;Suelo Urbano;Inventariado;Conselleria De Educacion Cultura  Universidades Y Empleo;N;S;N;2007/11/12 00:00:00.000000000;;;286,46;Desconocida;Desconeguda;Desconocida;Desconeguda;Desconocido;Desconegut;Dominio público;Domini públic;Sin Protección;Sense Protecció;Otra;Altra;Desconocido;Desconegut
(Ceem) Centro Especifico De Enfermos Mentales Y Centro De Dia;Castellón/Castelló;Albocàsser;Asistencial Social;Edificio;Inventariado;Instituto Valenciano De Atención Social Y Sanitaria;N;S;S;2005/07/28 00:00:00.000000000;;;1485,0;Dotacional Publico;Dotacional Publico;Suelo No Urbanizable Comun;Suelo No Urbanizable Comun;Desconocido;Desconegut;Dominio público;Domini públic;Sin Protección;Sense Protecció;Otra;Altra;Desconocido;Desconegut
1/2 Parte Indivisa Vivienda;Valencia/València;València;Asistencial Social;Vivienda;Inventariado;Direccion General De Patrimonio Abintestatos;N;N;N;2014/02/22 00:00:00.000000000;;;128,59;Desconocida;Desconeguda;Suelo Urbano;Suelo Urbano;Desconocido;Desconegut;Abintestato;Abintestat;Sin Protección;Sense Protecció;Otra;Altra;Desconocido;Desconegut
1/6 Condominio  Planta Baja  Procedente De Abintestato;Valencia/València;València;Patrimonial;Vivienda;Inventariado;Dirección General De Patrimonio;N;S;N;2002/10/18 00:00:00.000000000;;;60,0;Centro Histórico Protegido;Centro Histórico Protegido;Suelo Urbano;Suelo Urbano;Desconocido;Desconegut;Patrimonial;Patrimonial;Sin Protección;Sense Protecció;Otra;Altra;Residencial Plurifamiliar;Residencial Plurifamiliar
1/6 Parte De Una Vivienda Adquirida Por Herencia;Alicante/Alacant;Alcoi/Alcoy;Patrimonial;Vivienda;Inventariado;Dirección General De Patrimonio;N;S;N;2006/12/01 00:00:00.000000000;;;49,53;Desconocida;Desconeguda;Suelo Urbano;Suelo Urbano;Desconocido;Desconegut;Patrimonial;Patrimonial;Sin Protección;Sense Protecció;Otra;Altra;Desconocido;Desconegut
1/6 Parte Indivisa De  Vivienda Procedente De Abi;Alicante/Alacant;Onil;Asistencial Social;Vivienda;Inventariado;Direccion General De Patrimonio Abintestatos;N;N;N;2018/05/03 00:00:00.000000000;;;96,25;Desconocida;Desconeguda;Suelo Urbano;Suelo Urbano;Desconocido;Desconegut;Abintestato;Abintestat;Sin Protección;Sense Protecció;Otra;Altra;Desconocido;Desconegut
14,18%  En Proindiviso De La Parcela  B2-2   Urbanización Sector Nord De Carcaixent (Generalita El 14,11% Propiedad);Valencia/València;Carcaixent;Patrimonial;Suelo Urbanizable;Inventariado;Dirección General De Patrimonio;N;S;N;2009/03/25 00:00:00.000000000;;;0,0;Terciario;Terciario;Suelo Urbanizable;Suelo Urbanizable;Desconocido;Desconegut;Patrimonial;Patrimonial;Sin Protección;Sense Protecció;Otra;Altra;Terciario Manzana Densa;Terciario Manzana Densa
17,95% De La Propiedad De Un Solar Procedente Reparcelación De Antigua  A-300;Alicante/Alacant;Santa Pola;Carreteras;Suelo Urbano;Inventariado;Conselleria De Medio Ambiente  Infraestructuras Y Territorio;N;S;N;1984/07/01 00:00:00.000000000;;;0,0;Residencial;Residencial;Suelo Urbano;Suelo Urbano;Desconocido;Desconegut;Dominio público;Domini públic;Sin Protección;Sense Protecció;Otra;Altra;Residencial Edificacion Abierta;Residencial Edificacion Abierta
18,93%  En Condominio  Parcela C-2 Unidad Ejecucion Nº 5;Valencia/València;Benaguasil;Patrimonial;Suelo Urbano;Inventariado;Dirección General De Patrimonio;N;S;N;2007/06/07 00:00:00.000000000;;;0,0;Residencial;Residencial;Suelo Urbano;Suelo Urbano;Desconocido;Desconegut;Patrimonial;Patrimonial;Sin Protección;Sense Protecció;Otra;Altra;Desconocido;Desconegut
2 Locales En Alicante Para Archivo De Documentos;Alicante/Alacant;Alacant/Alicante;Almacen Y Archivos;Local;Inventariado;Conselleria De Medio Ambiente  Infraestructuras Y Territorio;N;N;N;2001/03/07 00:00:00.000000000;;;296,0;Residencial;Residencial;Suelo Urbano;Suelo Urbano;Desconocido;Desconegut;Dominio público;Domini públic;Sin Protección;Sense Protecció;Otra;Altra;Desconocido;Desconegut
25% Rustica Pda Saera 1/4 Parte De La Parcela  Procedente De Abintestato;Castellón/Castelló;Onda;Asistencial Social;Suelo No Urbanizable;Inventariado;Direccion General De Patrimonio Abintestatos;N;S;N;1999/07/01 00:00:00.000000000;;;0,0;Desconocida;Desconeguda;Suelo No Urbanizable Especial Proteccion;Suelo No Urbanizable Especial Proteccion;Desconocido;Desconegut;Abintestato;Abintestat;Sin Protección;Sense Protecció;Otra;Altra;Desconocido;Desconegut
50% Casa De Planta Baja Y Piso Alto Procedente De Abi;Castellón/Castelló;Castelló de la Plana/Castellón de la Plana;Asistencial Social;Vivienda;Inventariado;Direccion General De Patrimonio Abintestatos;N;S;N;2010/03/22 00:00:00.000000000;;;253,0;Desconocida;Desconeguda;Suelo Urbano;Suelo Urbano;Desconocido;Desconegut;Abintestato;Abintestat;Sin Protección;Sense Protecció;Otra;Altra;Desconocido;Desconegut
50% Vivienda;Valencia/València;València;Asistencial Social;Vivienda;Inventariado;Direccion General De Patrimonio Abintestatos;N;S;N;2003/02/22 00:00:00.000000000;;;96,38;Residencial;Residencial;Suelo Urbano;Suelo Urbano;Desconocido;Desconegut;Abintestato;Abintestat;Sin Protección;Sense Protecció;Otra;Altra;Desconocido;Desconegut
50% Vivienda Unifamiliar;Valencia/València;Eliana, l';Asistencial Social;Vivienda;Inventariado;Direccion General De Patrimonio Abintestatos;N;S;N;2003/02/22 00:00:00.000000000;;;140,0;Residencial;Residencial;Suelo Urbano;Suelo Urbano;Desconocido;Desconegut;Abintestato;Abintestat;Sin Protección;Sense Protecció;Otra;Altra;Desconocido;Desconegut
6 Locales Y 10 Aparcamientos Con 10 Trasteros  ( Anteriormente Rtvv);Valencia/València;València;Administrativo;Local;Inventariado;Presidencia;N;S;N;1985/05/28 00:00:00.000000000;;;1410,23;Edificación Abierta;Edificación Abierta;Suelo Urbano;Suelo Urbano;Desconocido;Desconegut;Dominio público;Domini públic;Sin Protección;Sense Protecció;Otra;Altra;Desconocido;Desconegut
62,50% De Casa Procedente De Abi;Valencia/València;València;Asistencial Social;Vivienda;Inventariado;Direccion General De Patrimonio Abintestatos;N;N;N;2011/01/01 00:00:00.000000000;;;122,0;Desconocida;Desconeguda;Suelo Urbano;Suelo Urbano;Desconocido;Desconegut;Abintestato;Abintestat;Sin Protección;Sense Protecció;Otra;Altra;Desconocido;Desconegut
75 % De Una Vivienda Procedente De Abi;Valencia/València;València;Patrimonial;Vivienda;Inventariado;Dirección General De Patrimonio;N;S;N;2008/02/01 00:00:00.000000000;;;75,0;Ensanche;Ensanche;Suelo Urbano;Suelo Urbano;Desconocido;Desconegut;Patrimonial;Patrimonial;Sin Protección;Sense Protecció;Otra;Altra;Desconocido;Desconegut
Aeropuerto De Castellón;Castellón/Castelló;Vilanova d'Alcolea;Servicio Público Aeroportuario;Infraestructura;Inventariado;Aeropuerto De Castellón S.L.;N;N;N;2023/06/26 00:00:00.000000000;;;5465830,0;Dotacional Publico;Dotacional Publico;Suelo No Urbanizable Comun;Suelo No Urbanizable Comun;Desconocido;Desconegut;Dominio público;Domini públic;Sin Protección;Sense Protecció;Otra;Altra;Desconocido;Desconegut
Agencia De Extension Agraria: La Costera I La Canal   Oficina Medioambiental;Valencia/València;Xàtiva;Patrimonial;Edificio;Inventariado;Conselleria De Agricultura Agua Ganaderia Y Pesca;N;N;N;1984/08/01 00:00:00.000000000;;;575,58;Dotacional Publico;Dotacional Publico;Suelo Urbano;Suelo Urbano;Desconocido;Desconegut;Ambos;Tots dos;Sin Protección;Sense Protecció;Otra;Altra;Administrativo-Institucional;Administrativo-Institucional
Agencia De Extension Agraria: La Costera I La Canal   Oficina Medioambiental;Valencia/València;Xàtiva;Patrimonial;Edificio;Inventariado;Conselleria De Medio Ambiente  Infraestructuras Y Territorio;N;N;N;1984/08/01 00:00:00.000000000;;;575,58;Dotacional Publico;Dotacional Publico;Suelo Urbano;Suelo Urbano;Desconocido;Desconegut;Ambos;Tots dos;Sin Protección;Sense Protecció;Otra;Altra;Administrativo-Institucional;Administrativo-Institucional
Agencia De Extension Agraria: La Costera I La Canal   Oficina Medioambiental;Valencia/València;Xàtiva;Patrimonial;Edificio;Inventariado;Dirección General De Patrimonio;N;N;N;1984/08/01 00:00:00.000000000;;;575,58;Dotacional Publico;Dotacional Publico;Suelo Urbano;Suelo Urbano;Desconocido;Desconegut;Ambos;Tots dos;Sin Protección;Sense Protecció;Otra;Altra;Administrativo-Institucional;Administrativo-Institucional
Agencia De Lectura Y Consultorio Medico De Marines (Antes  Centro Social De Marines Actual Hogar Del Jubilado Y Biblioteca);Valencia/València;Marines;Cultural;Edificio;Inventariado;Conselleria De Educacion Cultura  Universidades Y Empleo;N;N;N;1982/12/29 00:00:00.000000000;;;492,86;Dotacional Publico;Dotacional Publico;Suelo Urbano;Suelo Urbano;Cesion De Uso;Cesion De Uso;Dominio público;Domini públic;Sin Protección;Sense Protecció;Otra;Altra;Sistema Local Servicio Publico;Sistema Local Servicio Publico
Agencia Tributaria;Alicante/Alacant;Alacant/Alicante;Administrativo;Local;Inventariado;Agencia Tributaria Valenciana;N;S;S;2005/02/24 00:00:00.000000000;;;938,38;Ensanche;Ensanche;Suelo Urbano;Suelo Urbano;Desconocido;Desconegut;Dominio público;Domini públic;Sin Protección;Sense Protecció;Otra;Altra;Servicios Administrativos;Servicios Administrativos
Agencia Tributaria (Arrendado) (Antes: Conselleria De Infraestructuras Y Transporte Trasladados A Complejo 9 De Octubre);Valencia/València;València;Patrimonial;Edificio;Inventariado;Dirección General De Patrimonio;N;S;N;1987/10/17 00:00:00.000000000;;;10077,32;Dotacional Publico;Dotacional Publico;Suelo Urbano;Suelo Urbano;Desconocido;Desconegut;Patrimonial;Patrimonial;Sin Protección;Sense Protecció;Arrendador;Arrendador;Desconocido;Desconegut
Agrupacion Residencia  Y Centro De Dia De Personas Discapacitadas De Vila-Real;Castellón/Castelló;Vila-real;Asistencial Social;Edificio;Inventariado;Vicepresid I Y Cons Servicios Sociales, Igualdad Y Vivienda;N;S;S;1991/07/09 00:00:00.000000000;;;3606,03;Dotacional Publico;Dotacional Publico;Suelo Urbano;Suelo Urbano;Desconocido;Desconegut;Dominio público;Domini públic;Sin Protección;Sense Protecció;Otra;Altra;Asistencial;Asistencial
Albergue Juvenil Argentina;Castellón/Castelló;Benicàssim/Benicasim;Asistencial Social;Complejo;Inventariado;Instituto Valenciano De La Juventud;N;S;N;1983/01/01 00:00:00.000000000;;;2796,87;Dotacional Publico;Dotacional Publico;Suelo Urbano;Suelo Urbano;Desconocido;Desconegut;Dominio público;Domini públic;Sin Protección;Sense Protecció;Otra;Altra;Educativo-Cultural;Educativo-Cultural
Albergue Juvenil Casa El Peru;Valencia/València;Ontinyent;Patrimonial;Edificio;Inventariado;Dirección General De Patrimonio;N;S;N;1983/01/01 00:00:00.000000000;;;669,07;Desconocida;Desconeguda;Suelo Urbanizable;Suelo Urbanizable;Cesion De Uso;Cesion De Uso;Patrimonial;Patrimonial;Sin Protección;Sense Protecció;Otra;Altra;Desconocido;Desconegut
Albergue Juvenil De Biar                  Finca Conocida Como Cerro De La Virgen;Alicante/Alacant;Biar;Asistencial Social;Edificio;Inventariado;Instituto Valenciano De La Juventud;N;S;N;2003/02/05 00:00:00.000000000;;;0,0;Educativo - Cultural;Educativo - Cultural;Suelo No Urbanizable Comun;Suelo No Urbanizable Comun;Desconocido;Desconegut;Dominio público;Domini públic;Sin Protección;Sense Protecció;Otra;Altra;Desconocido;Desconegut
Albergue Juvenil La Marina                Antiguo Campamento Cervantes;Alicante/Alacant;Teulada;Cultural;Complejo;Inventariado;Instituto Valenciano De La Juventud;N;S;N;1983/01/01 00:00:00.000000000;;;2219,48;Dotacional Publico;Dotacional Publico;Suelo Urbano;Suelo Urbano;Desconocido;Desconegut;Dominio público;Domini públic;Sin Protección;Sense Protecció;Otra;Altra;Desconocido;Desconegut
Albergue Juvenil Mar I Vent;Valencia/València;Piles;Cultural;Complejo;Inventariado;Instituto Valenciano De La Juventud;N;N;N;1983/12/29 00:00:00.000000000;;;6073,83;Desconocida;Desconeguda;Suelo No Urbanizable Especial Proteccion;Suelo No Urbanizable Especial Proteccion;Desconocido;Desconegut;Dominio público;Domini públic;Sin Protección;Sense Protecció;Otra;Altra;Desconocido;Desconegut
Albergue Juvenil Serra Mariola De Muro De Alcoy;Alicante/Alacant;Muro de Alcoy;Patrimonial;Edificio;Inventariado;;S;N;S;2023/12/28 00:00:00.000000000;;;0,0;Extension Casco;Extension Casco;Suelo Urbano;Suelo Urbano;Desconocido;Desconegut;Dominio público;Domini públic;Sin Protección;Sense Protecció;Otra;Altra;Equipamientos;Equipamientos
Almacen  De Obras Publicas        Antigua Casilla De Peón Caminero;Castellón/Castelló;Borriol;Almacen Y Archivos;Edificio;Inventariado;Conselleria De Medio Ambiente  Infraestructuras Y Territorio;N;S;N;1984/08/01 00:00:00.000000000;;;179,4;Residencial;Residencial;Suelo Urbano;Suelo Urbano;Desconocido;Desconegut;Dominio público;Domini públic;Sin Protección;Sense Protecció;Otra;Altra;Residencial Unitario Bloque Aislado;Residencial Unitario Bloque Aislado
Almacen De Incendios Y Casa Forestal De Cofrentes;Valencia/València;Cofrentes;Proteccion Del Medio Ambiente;Vivienda;Inventariado;Conselleria De Medio Ambiente  Infraestructuras Y Territorio;N;S;N;1984/01/01 00:00:00.000000000;;;717,0;Desconocida;Desconeguda;Desconocida;Desconeguda;Desconocido;Desconegut;Dominio público;Domini públic;Sin Protección;Sense Protecció;Otra;Altra;Desconocido;Desconegut
Almacen De La Conselleria De Medio Ambiente, Agua, Urbanismo Y Vivienda;Castellón/Castelló;Castelló de la Plana/Castellón de la Plana;Almacen Y Archivos;Local;Inventariado;Conselleria De Medio Ambiente  Infraestructuras Y Territorio;N;S;N;1982/01/01 00:00:00.000000000;;;191,04;Residencial;Residencial;Suelo Urbano;Suelo Urbano;Desconocido;Desconegut;Dominio público;Domini públic;Sin Protección;Sense Protecció;Otra;Altra;Desconocido;Desconegut
Almacen, Bascula Y Silo De Trigo De Requena  Y Parcela Edificable;Valencia/València;Requena;Agrario - Agricultura;Complejo;Inventariado;Conselleria De Agricultura Agua Ganaderia Y Pesca;N;S;N;1996/10/16 00:00:00.000000000;;;443,0;Ensanche;Ensanche;Suelo Urbano;Suelo Urbano;Desconocido;Desconegut;Dominio público;Domini públic;Sin Protección;Sense Protecció;Otra;Altra;Administrativo-Institucional;Administrativo-Institucional
Ampliacion C.E.A.M. De Segorbe;Castellón/Castelló;Segorbe;Asistencial Social;Local;Inventariado;Vicepresid I Y Cons Servicios Sociales, Igualdad Y Vivienda;N;N;N;2015/08/06 00:00:00.000000000;;;171,35;Residencial;Residencial;Suelo Urbano;Suelo Urbano;Desconocido;Desconegut;Patrimonial;Patrimonial;Sin Protección;Sense Protecció;Arrendatario;Arrendatari;Desconocido;Desconegut
Ampliacion C.P. 9 D'Octubre (Antigua Carcel Modelo De Mujeres);Valencia/València;València;Docente;Edificio;Inventariado;Conselleria De Educacion Cultura  Universidades Y Empleo;N;S;N;2003/04/22 00:00:00.000000000;;;0,0;Ensanche;Ensanche;Suelo Urbano;Suelo Urbano;Desconocido;Desconegut;Dominio público;Domini públic;Sin Protección;Sense Protecció;Otra;Altra;Educativo-Cultural;Educativo-Cultural
Ampliacion Centro De Salud;Alicante/Alacant;Pilar de la Horadada;Sanitario;Edificio;Inventariado;Conselleria De Sanidad;N;S;N;2009/10/27 00:00:00.000000000;;;1376,55;Dotacional Publico - Red Secundaria;Dotacional Publico - Red Secundaria;Suelo Urbano;Suelo Urbano;Desconocido;Desconegut;Dominio público;Domini públic;Sin Protección;Sense Protecció;Otra;Altra;Sanitario;Sanitario
Ampliacion Consultorio Pinedo - Valencia;Valencia/València;València;Sanitario;Local;Inventariado;Conselleria De Sanidad;N;N;N;2014/07/15 00:00:00.000000000;;;196,17;Ensanche;Ensanche;Suelo Urbano;Suelo Urbano;Desconocido;Desconegut;Patrimonial;Patrimonial;Sin Protección;Sense Protecció;Arrendatario;Arrendatari;Desconocido;Desconegut
Ampliacion Consultorio Pintor Stolz - Valencia;Valencia/València;València;Sanitario;Local;Inventariado;Conselleria De Sanidad;N;N;N;1992/04/15 00:00:00.000000000;;;406,93;Ensanche;Ensanche;Suelo Urbano;Suelo Urbano;Desconocido;Desconegut;Dominio público;Domini públic;Sin Protección;Sense Protecció;Otra;Altra;Desconocido;Desconegut
Ampliacion Del Centro De Salud De Utiel: Centro De Rehabilitacion Y Urgencias De Ambito Comarcal;Valencia/València;Utiel;Sanitario;Edificio;Inventariado;Conselleria De Sanidad;N;S;N;2002/06/19 00:00:00.000000000;;;600,0;Edificación Abierta;Edificación Abierta;Suelo Urbano;Suelo Urbano;Desconocido;Desconegut;Dominio público;Domini públic;Sin Protección;Sense Protecció;Otra;Altra;Asistencial;Asistencial
Ampliacion Del Museo De La Taronja;Castellón/Castelló;Borriana/Burriana;Cultural;Edificio;Inventariado;Conselleria De Educacion Cultura  Universidades Y Empleo;N;S;N;2001/10/04 00:00:00.000000000;;;768,0;Centro Histórico Protegido;Centro Histórico Protegido;Suelo Urbano;Suelo Urbano;Desconocido;Desconegut;Dominio público;Domini públic;Sin Protección;Sense Protecció;Otra;Altra;Desconocido;Desconegut
Ampliacion Estacion Fuente San Luis;Valencia/València;València;Servic. Ferroviarios (Estaciones,Lineas);Infraestructura;Inventariado;Conselleria De Medio Ambiente  Infraestructuras Y Territorio;N;N;N;2000/05/01 00:00:00.000000000;;;0,0;Sistema General Red Viaria;Sistema General Red Viaria;Suelo No Urbanizable Comun;Suelo No Urbanizable Comun;Desconocido;Desconegut;Dominio público;Domini públic;Sin Protección;Sense Protecció;Otra;Altra;Desconocido;Desconegut
Ampliacion Hospital Clinico (Anteriormente Solar  Antigua Escuela Tecnica Superior Del Medio Rural Y Enologia De La Universitat Politecnica);Valencia/València;València;Sanitario;Edificio;Inventariado;Conselleria De Sanidad;N;S;N;2018/01/10 00:00:00.000000000;;;8153,44;Desconocida;Desconeguda;Desconocida;Desconeguda;Desconocido;Desconegut;Dominio público;Domini públic;Sin Protección;Sense Protecció;Otra;Altra;Desconocido;Desconegut
Ampliacion I.V.A.M.-Centre Del Carmen;Valencia/València;València;Cultural;Suelo Urbano;Inventariado;Conselleria De Educacion Cultura  Universidades Y Empleo;N;S;N;2013/04/18 00:00:00.000000000;;;0,0;Red Primaria Equipam Adtvo-Institucional;Red Primaria Equipam Adtvo-Institucional;Suelo Urbano;Suelo Urbano;Autorizacion;Autorizacion;Dominio público;Domini públic;Sin Protección;Sense Protecció;Otra;Altra;Cultural;Cultural
Ampliacion Palacio Justicia;Castellón/Castelló;Nules;Judicial;Local;Inventariado;Conselleria De Justicia Y Administración Publica;N;S;N;2018/11/29 00:00:00.000000000;;;250,0;Ensanche;Ensanche;Suelo Urbano;Suelo Urbano;Desconocido;Desconegut;Dominio público;Domini públic;Sin Protección;Sense Protecció;Otra;Altra;Administrativo-Institucional;Administrativo-Institucional
Ampliacion Sede Judicial;Castellón/Castelló;Nules;Judicial;Local;Inventariado;Conselleria De Justicia Y Administración Publica;N;S;N;2018/06/21 00:00:00.000000000;;;166,0;Ensanche;Ensanche;Suelo Urbano;Suelo Urbano;Desconocido;Desconegut;Dominio público;Domini públic;Sin Protección;Sense Protecció;Otra;Altra;Administrativo-Institucional;Administrativo-Institucional
Ampliacion Unitat De Salut Mental Pere Bonfill -Valencia (Antes Consultorio Pere Bonfill);Valencia/València;València;Sanitario;Local;Inventariado;Conselleria De Sanidad;N;N;N;2005/05/01 00:00:00.000000000;;;213,0;Ensanche;Ensanche;Suelo Urbano;Suelo Urbano;Desconocido;Desconegut;Patrimonial;Patrimonial;Sin Protección;Sense Protecció;Arrendatario;Arrendatari;Desconocido;Desconegut
Ampliación Colector Pluviales Silla;Valencia/València;Silla;Servicio Hidraulico Regadios;Infraestructura;Inventariado;Conselleria De Agricultura Agua Ganaderia Y Pesca;N;N;N;2017/12/18 00:00:00.000000000;;;0,0;Desconocida;Desconeguda;Desconocida;Desconeguda;Desconocido;Desconegut;Dominio público;Domini públic;Sin Protección;Sense Protecció;Otra;Altra;Desconocido;Desconegut
Ampliación De La Sede De La Sindicatura De Cuentas;Valencia/València;València;Administrativo;Local;Inventariado;Les Corts Valencianes;N;S;N;1983/07/01 00:00:00.000000000;;;155,16;Centro Histórico Protegido;Centro Histórico Protegido;Suelo Urbano;Suelo Urbano;Desconocido;Desconegut;Dominio público;Domini públic;Sin Protección;Sense Protecció;Otra;Altra;Desconocido;Desconegut
Ampliación De Plazas De Parking Del Hospital De Orihuela;Alicante/Alacant;Orihuela;Sanitario;Suelo Urbano;Inventariado;Conselleria De Sanidad;N;S;N;2023/12/21 00:00:00.000000000;;;0,0;Equipamiento Sanitario;Equipamiento Sanitario;Suelo Urbano;Suelo Urbano;Desconocido;Desconegut;Dominio público;Domini públic;Sin Protección;Sense Protecció;Otra;Altra;Desconocido;Desconegut
Ampliación Hospital De La Marina Baixa;Alicante/Alacant;Vila Joiosa, la/Villajoyosa;Sanitario;Suelo No Urbanizable;Inventariado;Conselleria De Sanidad;N;S;N;2018/05/24 00:00:00.000000000;;;0,0;Desconocida;Desconeguda;Desconocida;Desconeguda;Desconocido;Desconegut;Dominio público;Domini públic;Sin Protección;Sense Protecció;Otra;Altra;Desconocido;Desconegut
Antena De Telecomunicaciones Partida Segaria;Alicante/Alacant;Benimeli;Telecomunicaciones;Infraestructura;Inventariado;Sdad. Infraestruct. Y Serv. Telecomunicación Y Certificación;N;N;N;2018/12/28 00:00:00.000000000;;;0,0;Desconocida;Desconeguda;Desconocida;Desconeguda;Desconocido;Desconegut;Dominio público;Domini públic;Sin Protección;Sense Protecció;Otra;Altra;Desconocido;Desconegut
Antigua Camara Local Agraria  De Xeraco Utilizada Como Almacen Municipal;Valencia/València;Xeraco;Almacen Y Archivos;Edificio;Inventariado;Conselleria De Agricultura Agua Ganaderia Y Pesca;N;S;N;1994/08/27 00:00:00.000000000;;;0,0;Desconocida;Desconeguda;Suelo Urbano;Suelo Urbano;Desconocido;Desconegut;Dominio público;Domini públic;Sin Protección;Sense Protecció;Otra;Altra;Desconocido;Desconegut
Antigua Casa De Enric Valor;Alicante/Alacant;Castalla;Patrimonial;Edificio;Inventariado;Dirección General De Patrimonio;N;S;N;2001/08/07 00:00:00.000000000;;;359,0;Residencial;Residencial;Suelo Urbano;Suelo Urbano;Cesion De Uso;Cesion De Uso;Patrimonial;Patrimonial;Sin Protección;Sense Protecció;Otra;Altra;Educativo-Cultural;Educativo-Cultural
Antigua Casa De La Juventud De Novelda Transferida En Materia De Cultura;Alicante/Alacant;Novelda;Cultural;Edificio;Inventariado;Conselleria De Educacion Cultura  Universidades Y Empleo;N;S;N;1983/01/01 00:00:00.000000000;;;322,44;Dotacional Publico;Dotacional Publico;Suelo Urbano;Suelo Urbano;Desconocido;Desconegut;Dominio público;Domini públic;Sin Protección;Sense Protecció;Otra;Altra;Educativo-Cultural;Educativo-Cultural
Antigua Casilla De Peon Caminero - Sede Protección Civil Mutxamel;Alicante/Alacant;Mutxamel;Patrimonial;Edificio;Inventariado;Dirección General De Patrimonio;N;S;N;1984/08/01 00:00:00.000000000;;;111,35;Ensanche;Ensanche;Suelo Urbano;Suelo Urbano;Cesion De Uso;Cesion De Uso;Patrimonial;Patrimonial;Sin Protección;Sense Protecció;Otra;Altra;Residencial Unitario Bloque Exento;Residencial Unitario Bloque Exento
Antigua Casilla De Peon Caminero Destinada Hoy A Labores De Apoyo Del Monte;Alicante/Alacant;Biar;Proteccion Del Medio Ambiente;Edificio;Inventariado;Conselleria De Medio Ambiente  Infraestructuras Y Territorio;N;S;N;1984/07/01 00:00:00.000000000;;;111,35;Dotacional Publico;Dotacional Publico;Suelo Urbano;Suelo Urbano;Desconocido;Desconegut;Dominio público;Domini públic;Sin Protección;Sense Protecció;Otra;Altra;Administrativo-Institucional;Administrativo-Institucional
Antigua Casilla De Peón Caminero;Castellón/Castelló;Figueroles;Patrimonial;Edificio;Inventariado;Dirección General De Patrimonio;N;S;N;1984/07/01 00:00:00.000000000;;;126,03;Residencial;Residencial;Suelo Urbano;Suelo Urbano;Cesion De Uso;Cesion De Uso;Patrimonial;Patrimonial;Sin Protección;Sense Protecció;Otra;Altra;Residencial Unitario Bloque Exento;Residencial Unitario Bloque Exento
Antigua Casilla De Peón Caminero (Lo Utilizó El Ayuntamiento Como Centro Social);Castellón/Castelló;Vilafranca/Villafranca del Cid;Patrimonial;Edificio;Inventariado;Dirección General De Patrimonio;N;S;N;1984/07/01 00:00:00.000000000;;;110,0;Desconocida;Desconeguda;Suelo No Urbanizable Especial Proteccion;Suelo No Urbanizable Especial Proteccion;Desconocido;Desconegut;Patrimonial;Patrimonial;Sin Protección;Sense Protecció;Otra;Altra;Desconocido;Desconegut
